longitude,latitude,all_spp_cpue_2020,five_spp_cpue_2020,cod_cpue_2020,all_spp_old_2020,five_spp_old_2020,cod_old_2020,bathymetry_2020,bottom_temperature_2020,cod_spawning_area_2020,dumping_site_2020,military_area_2020,surface_net_primary_production_2020,bottom_dissolved_oxygen_2020,fishing_activity_hours_2020,seabed_type_2020,ship_density_route_2020,bottom_salinity_2020,wind_farm_2020
17.97765369,54.94932413,132307.94,83404.664,74960,164.75513,96.816933,74.835182,22.950598,8.7502604,0,0,0,4120.4922,323.48035,44.73,2,333,7.5981808,0
11.07765369,54.94932413,64857.102,60451.582,133.17778,165.20511,110.37552,5.2345524,10.117189,10.745425,0,0,0,3220.228,286.91528,0,2,3,19.767765,0
17.47765369,55.54932413,151901.2,50384.359,41750.113,165.2252,64.91848,45.860821,21.008745,9.3434744,0,0,0,3034.1873,328.8627,133.96001,2,367,7.488009,1
10.07765369,55.64932413,87164.164,7707.1333,1403,166.20462,53.54047,10.200464,17.708742,10.665978,0,0,0,3459.2976,262.9216,0.82999998,2,181,24.876972,0
10.77765369,56.94932413,77824.352,51576.871,232.82904,167.38506,90.581223,5.0968227,10.129855,10.795815,0,0,0,2708.1194,291.81311,0,2,66,26.284115,0
20.97765369,55.84932413,192614.62,64975.164,27438.676,168.68265,59.428089,35.081089,13.947295,10.039657,0,0,0,7813.8184,331.64142,6.3800001,2,99,6.7614565,0
20.87765369,56.44932413,266843.03,67013.531,11237.627,170.01996,50.211449,20.182606,10.116997,10.102929,0,0,1,5274.8623,338.69629,0.63999999,2,58,6.7823048,0
11.67765369,56.94932413,60328.668,7306.2334,41.866665,171.19783,48.271957,4.018208,38.4842,10.001206,1,0,0,2088.719,253.13202,568.39001,2,489,33.280075,0
12.27765369,54.44932413,74185.664,57692.332,21960,171.69447,113.35052,15.34331,18.35383,10.892397,0.5,0,0,3791.5815,290.94186,30,2,27,15.67857,0
20.37765369,55.94932413,134082.27,107840.22,60321.992,171.76237,112.99199,50.531208,32.469181,7.5040774,0,0,0,2994.5383,322.49097,138.42,2,38,7.3601818,1
14.97765369,55.44932413,252386,334141.09,201726.62,172.02704,243.35846,111.0029,71.100044,9.3579168,0.5,1,0,2601.7251,204.04912,54.73,2,5034,15.063724,0
11.07765369,55.24932413,85138.508,75284.125,100.45695,172.07433,107.65046,5.9978485,28.936857,9.9983521,0,0,0,2996.269,258.74997,318.92001,2,6225,26.04035,0
10.47765369,57.04932413,68688.859,39711.242,173.60527,172.74167,85.799011,5.0968227,7.5630884,10.597052,0,0,0,4732.0889,297.83508,1.62,2,55,25.615726,0
9.677653694,55.44932413,87881.266,21486.133,693,174.15166,74.532669,9.2863302,3.0862319,11.246323,0,0,0,5546.5918,288.88992,7.6599998,2,1647,18.864841,0
10.87765369,56.94932413,95194.516,66646.461,241.24013,178.85364,97.767807,2.0102558,11.414886,10.872173,0,0,0,2602.4453,292.68723,0,2,883,25.707102,0
20.87765369,56.34932413,270148.38,64727.699,10994.841,179.24251,49.922432,18.675468,10.121652,10.105487,0,0,1,5831.6982,337.68372,0,2,27,6.6905084,0
18.07765369,54.94932413,156858.52,111981,100739.34,180.54239,105.80283,74.120621,26.411804,8.611949,0,0,0,4187.0083,322.54916,82.989998,2,357,7.6108975,0
10.77765369,55.44932413,103109.07,35095.266,96,180.61832,79.655777,6.0402083,22.086998,10.114923,0,0,0,2833.6138,262.16156,20.690001,2,9,26.152136,0
10.57765369,54.84932413,85512.336,84203.867,20300,182.88045,131.93629,7.689909,6.0113072,11.34091,0,0,0,3217.2603,303.61639,82.860001,2,2068,16.3419,0
11.07765369,55.44932413,65215.434,54705.832,1372.5333,183.14716,94.996956,6.6510367,15.96583,10.403088,0,0,0,3093.7917,271.51303,26.799999,2,6,23.196404,0
11.17765369,55.04932413,84898.883,51343.637,461.6727,183.71513,97.943878,6.9752693,11.525682,11.090595,0,0,0,3102.0759,288.87109,1.8099999,2,7,18.955061,0
20.97765369,55.94932413,228458.02,64134.191,19391.123,185.0083,52.363331,26.781805,8.8227034,10.24471,0,0,0,7269.3716,335.25885,7.0300002,2,51,6.6328592,0
11.27765369,56.44932413,162003.25,99030.516,85.994774,185.81976,100.57836,3.4102843,18.581305,10.741687,0,0,0,2194.7979,258.56302,8.3999996,2,622,30.670856,0
14.47765369,54.74932413,111592.35,102475.17,75081.805,186.83295,139.86389,63.87619,18.631519,10.290342,0,0,0,3434.5483,321.49005,215.50999,2,14,8.1731434,0
20.97765369,56.04932413,256642.28,63315.789,12983.09,188.86766,48.90995,19.874399,13.027406,10.111621,0,0,0,7161.249,333.28012,0,2,0,6.6856656,0
11.87765369,56.44932413,126231.77,42225.684,3134.2334,189.16344,65.108322,9.3434467,32.62376,10.127217,0,0,0,2062.6929,236.62001,1311.01,2,455,32.767056,1
20.87765369,56.14932413,263845.5,62597.363,11265.2,189.58562,48.076141,17.224644,16.460039,9.948801,0,0,0,6044.8857,329.75882,8.4399996,2,12,6.8519244,0
20.67765369,56.24932413,258432.64,60649.707,9977.8252,190.02756,45.28957,15.002926,29.231716,8.7585535,0,0,1,3266.0244,325.78253,1.0599999,2,152,7.2066736,0
10.87765369,54.84932413,86737.625,71285.078,1352.9496,190.2316,120.48854,11.706361,18.578671,10.485614,0,0,0,3104.6345,285.63245,563.63,2,6469,20.861914,0
20.67765369,55.94932413,146956.12,68698.938,39521.676,190.55917,66.377975,37.666603,26.531525,8.668335,0,0,0,3599.8591,325.1644,102.13,2,249,7.1943779,0
20.87765369,56.04932413,245038.52,63637.598,15406.824,190.72641,49.564747,21.103514,22.275225,9.6235905,0,0,0,4770.7246,323.88162,0.51999998,2,25,7.0463605,0
20.77765369,56.24932413,267582.47,61327.523,10439.073,191.88829,48.033604,16.669895,23.084337,9.637435,0,0,1,3773.478,328.31284,3.3,2,47,7.0889087,0
